utc,true_lat,true_lon,num_sights,sights
2005-12-09T04:10:13Z,43.77,11.25,6,Capella:40.4149:299.5233|Kochab:46.9002:22.2187|Saturn:60.0495:216.3779|Mirfak:26.3158:315.0487|Dubhe:70.1986:20.0927|Arcturus:33.0516:94.6675
2027-02-20T08:56:04Z,-33.87,151.21,6,Acamar:64.9963:246.4205|Avior:48.4255:143.9696|Hamal:19.4089:318.3791|Adhara:64.3519:87.2252|Alnair:16.284:224.0263|Alphard:23.9865:84.408
2012-01-16T00:05:29Z,35.0,-40.0,6,Kochab:21.3851:9.3605|Menkar:48.1962:229.3886|Jupiter:41.1383:252.037|Alpheratz:28.4931:287.2613|Regulus:18.1609:87.9756|Mirfak:66.5278:317.0674
2047-11-10T14:04:44Z,43.77,11.25,6,Sun:15.6878:225.9872|Kochab:52.6126:339.7682|Dubhe:31.0727:327.504|Alphecca:54.9718:253.261|Saturn:23.5442:180.3027|Nunki:19.0683:168.1766
2049-09-23T05:38:52Z,0.0,0.0,6,Capella:43.5359:353.1803|Mirfak:31.6465:334.1932|Moon:37.4173:75.9881|Avior:23.2272:159.9235|Regulus:23.9285:77.1584|Suhail:27.5791:141.1239
2039-01-10T22:04:39Z,1.35,103.82,6,Alphard:46.0672:255.7741|Arcturus:56.4919:56.3791|Antares:23.5875:119.8363|Gienah:70.8775:182.3696|Pollux:19.6962:299.2857|Procyon:20.1088:274.96
2001-03-21T07:13:17Z,20.0,179.9,6,Suhail:20.8665:157.1964|Sirius:52.8398:189.2158|Regulus:46.1164:93.4562|Rigel:50.2593:227.5217|Alphard:45.3261:126.5978|Mirfak:36.8826:318.0789
2017-09-28T21:34:26Z,43.77,11.25,6,Eltanin:42.0199:306.5513|Fomalhaut:16.6808:178.2255|Kochab:34.4793:343.2714|Deneb:67.1605:285.2823|Capella:26.0003:50.1134|Markab:61.3579:172.5225
2022-04-13T10:59:51Z,-33.87,151.21,6,Sirius:37.0294:274.1037|Gienah:61.3344:62.2381|Rigil Kent:42.3292:144.335|Alphard:61.0662:326.637|Regulus:43.9841:352.6491|Hadar:46.7114:144.6763
2017-02-16T14:20:46Z,64.15,-21.95,6,Polaris:64.4408:1.3672|Markab:40.9475:171.8317|Alioth:32.7721:338.2737|Hamal:37.2593:114.7757|Rasalhague:17.3318:262.9843|Mars:26.7153:142.3147
2002-04-03T09:21:26Z,-55.9,-67.2,6,Moon:57.637:6.4889|Kaus Aus.:67.1036:24.7495|Avior:29.9231:202.5544|Shaula:71.1854:356.8908|Gienah:19.6361:267.4649|Hadar:62.1191:238.3937
2009-04-06T04:50:25Z,43.77,11.25,6,Deneb:67.3146:74.8786|Altair:51.2681:148.469|Jupiter:18.4235:134.8937|Alkaid:42.3628:303.1256|Schedar:34.4079:41.8449|Dubhe:28.6031:330.0468
2049-06-30T16:00:36Z,1.35,103.82,6,Arcturus:39.2398:293.5585|Vega:49.578:19.9995|Alkaid:22.7327:324.0477|Spica:27.9015:256.3154|Nunki:55.502:144.5684|Menkent:29.6101:225.6052
2038-11-25T17:03:29Z,64.15,-21.95,6,Deneb:70.1106:154.5492|Alioth:42.9559:311.9511|Eltanin:70.2149:244.159|Capella:24.311:28.4906|Enif:32.4589:146.9552|Arcturus:19.4882:273.4949
