utc,star,sha_deg,dec_deg
2009-01-22T20:12:51Z,Betelgeuse,271.07608,7.40876
2050-03-14T23:24:10Z,Regulus,207.23208,11.71552
2035-11-16T09:50:39Z,Capella,280.16021,46.02699
2019-09-25T08:21:46Z,Arcturus,145.86865,19.0848
2044-06-17T02:53:05Z,Ankaa,352.87995,-42.06035
2044-05-21T02:14:24Z,Fomalhaut,14.97558,-29.38434
2040-07-10T01:20:07Z,Betelgeuse,270.66776,7.41235
2017-12-25T15:16:06Z,Diphda,348.87984,-17.89216
2033-05-13T07:54:19Z,Peacock,52.93101,-56.61883
2014-09-12T17:10:29Z,Ankaa,353.24128,-42.22309
2019-06-30T08:13:02Z,Denebola,182.49169,14.46643
2002-11-05T22:37:59Z,Denebola,182.70626,14.55862
2032-09-05T21:03:56Z,Acamar,315.12067,-40.17246
2046-11-30T21:13:49Z,Adhara,254.87419,-29.0362
2036-05-26T00:10:29Z,Alphecca,125.94001,26.59681
2045-04-25T07:28:13Z,Pollux,242.97716,27.91461
2040-12-10T18:25:45Z,Rasalhague,95.79913,12.53273
2011-12-14T17:27:20Z,Kochab,137.3477,74.10283
